X_Biden,Y_Biden,X_Trump,Y_Trump,X_Obama,Y_Obama,X_George W. Bush,Y_George W. Bush,X_Bill Clinton,Y_Bill Clinton,X_George H. W. Bush,Y_George H. W. Bush,X_Ronald Reagan,Y_Ronald Reagan,X_Jimmy Carter,Y_Jimmy Carter,X_Richard Nixon,Y_Richard Nixon,X_Lyndon B. Johnson,Y_Lyndon B. Johnson,X_John F. Kennedy,Y_John F. Kennedy,X_Kamala Harris,Y_Kamala Harris,X_Hillary Clinton,Y_Hillary Clinton,X_Mitt Romney,Y_Mitt Romney,X_John McCain,Y_John McCain,X_John Kerry,Y_John Kerry,X_Al Gore,Y_Al Gore,X_Bob Dole,Y_Bob Dole,X_Michael Dukakis,Y_Michael Dukakis,X_Walter Mondale,Y_Walter Mondale,X_George McGovern,Y_George McGovern,X_Hubert Humphrey,Y_Hubert Humphrey,X_Barry Goldwater,Y_Barry Goldwater
467,507,195,196,97,190,183,194,221,164,167,177,170,219,150,181,285,391,368,603,363,450,447,508,492,491,477,551,390,467,483,484,534,469,380,468,518,420,487,481,111,181,469,464,487,356
507,507,208,197,105,190,197,195,235,165,177,177,181,217,160,179,309,393,405,603,388,448,474,510,524,492,514,551,419,462,519,477,574,468,408,470,557,419,516,482,118,181,508,464,522,356
518,457,210,179,109,178,206,179,243,154,185,166,187,206,170,171,310,361,409,567,410,429,487,481,539,457,524,503,437,437,521,442,592,433,424,447,581,394,530,451,119,172,526,409,536,310
528,480,213,187,111,183,209,188,245,161,187,172,189,212,172,176,317,376,417,585,415,442,490,495,543,474,533,522,445,452,533,458,600,452,429,460,589,412,535,467,121,175,535,433,543,328
537,506,216,195,112,189,211,197,247,168,188,179,192,219,174,182,324,393,424,606,419,458,494,510,549,493,542,543,452,470,544,477,607,473,432,476,597,435,539,485,123,179,543,460,550,348
528,532,213,203,110,195,207,206,244,176,185,186,191,226,172,189,316,408,415,625,413,476,489,525,542,512,537,563,445,492,537,500,598,496,423,491,583,462,533,504,122,183,536,487,546,367
519,555,210,210,109,201,203,214,241,184,182,192,189,234,171,198,307,420,406,643,407,493,484,538,535,531,529,580,438,512,530,520,587,516,416,507,571,488,527,522,120,187,528,509,543,385
396,389,172,151,84,162,163,149,197,123,151,142,150,185,134,154,238,314,303,506,335,370,403,419,437,382,389,427,346,386,404,397,466,354,335,377,472,312,439,387,95,158,411,316,416,232
388,410,170,159,81,167,157,156,192,130,147,148,148,191,130,159,235,324,294,522,325,387,393,434,422,401,378,448,334,402,394,413,453,374,324,390,457,329,430,403,93,162,403,339,404,254
388,430,170,167,80,172,156,165,191,139,146,155,148,198,130,167,235,337,294,542,323,406,393,452,423,424,383,471,333,421,397,431,452,398,322,409,454,355,428,423,94,166,404,364,406,279
398,450,173,173,83,177,162,173,196,148,150,162,153,205,136,173,240,349,301,559,331,426,406,468,441,446,403,491,345,440,411,450,466,422,335,427,463,381,439,443,97,170,414,389,427,298
397,428,173,166,84,172,163,165,198,140,151,155,154,197,136,166,242,336,306,541,337,407,409,450,445,424,402,468,347,421,409,429,471,399,340,409,469,357,445,423,97,166,418,363,431,275
396,409,173,159,84,167,164,156,199,130,152,149,153,190,136,159,242,324,307,523,339,387,409,433,445,400,398,445,348,403,407,411,473,374,341,391,473,333,446,403,96,162,418,338,428,250
400,558,173,210,83,202,159,213,193,190,148,194,154,242,137,207,238,417,300,656,324,502,403,540,436,539,411,591,346,537,423,545,459,533,327,510,450,504,433,530,98,190,417,522,437,401
391,579,169,217,80,207,152,220,186,198,142,200,150,248,131,214,232,427,294,673,312,520,389,555,416,559,396,611,334,557,414,565,444,555,310,524,436,523,421,547,96,194,407,549,420,423
390,599,168,224,80,213,151,229,186,207,142,207,150,256,131,222,231,439,294,692,312,539,387,573,414,583,398,634,335,577,417,584,444,580,306,543,435,549,420,568,96,198,407,575,421,449
399,620,171,230,83,217,155,237,190,217,146,213,154,263,136,229,234,450,302,709,320,557,396,588,428,603,410,652,346,595,430,601,454,603,313,559,444,574,427,586,98,201,417,598,437,464
399,599,172,224,83,213,158,230,194,208,147,208,155,256,138,222,238,440,304,692,325,540,402,575,437,585,415,634,349,577,429,581,462,581,322,546,448,552,436,571,99,198,423,575,448,449
399,580,172,217,83,208,158,221,194,198,147,201,155,248,138,214,239,429,304,674,326,522,403,557,439,561,414,612,348,557,426,563,463,556,326,528,451,528,437,550,98,194,423,549,446,423
567,398,223,158,124,166,233,167,266,145,206,152,210,192,194,160,340,337,456,547,468,403,525,444,577,413,565,442,493,407,554,395,653,404,464,417,652,359,579,432,128,163,598,352,593,264
566,437,224,172,120,174,229,179,261,152,202,162,206,201,189,166,338,358,455,573,453,422,517,467,570,444,566,480,488,428,557,427,650,429,463,440,641,387,570,449,127,169,579,392,585,298
567,475,225,185,119,182,227,190,258,162,200,172,205,210,187,175,337,379,454,592,447,444,514,491,569,473,569,515,487,453,564,453,647,455,460,463,635,417,565,470,127,174,573,428,581,326
572,503,226,194,120,189,228,200,260,170,201,180,207,218,188,182,339,394,457,612,450,464,517,509,570,494,576,538,491,475,571,477,650,478,463,482,639,447,569,490,128,178,578,458,588,344
568,529,224,202,119,196,226,209,257,179,199,189,205,226,186,190,335,407,452,630,445,486,513,527,566,516,572,562,487,499,570,501,643,501,456,500,631,482,563,510,127,182,575,488,585,362
569,566,223,212,119,205,226,221,258,191,199,201,207,236,188,202,334,425,451,650,447,520,513,552,564,546,574,588,490,535,571,530,643,534,453,527,629,525,565,535,129,186,581,520,594,385
574,603,223,223,122,212,228,235,262,203,201,212,212,249,194,215,332,445,451,675,454,556,518,574,566,582,578,613,497,573,577,559,641,572,448,558,634,575,571,561,131,191,597,557,603,413
609,566,235,213,132,205,239,223,275,193,214,202,221,236,202,202,358,428,468,653,488,528,549,555,606,553,612,588,529,536,610,527,676,539,479,533,670,529,586,538,134,186,626,520,614,384
624,530,241,203,137,197,243,212,281,181,219,191,225,226,204,191,372,410,476,633,504,497,566,531,623,522,625,561,541,500,622,494,691,507,496,508,688,487,594,513,135,182,635,486,617,359
627,502,242,194,138,190,245,202,282,172,220,182,225,217,205,182,375,395,479,613,508,473,569,512,626,499,627,536,542,474,622,469,695,482,500,487,695,451,597,492,135,177,636,455,617,341
623,472,242,184,137,182,244,192,281,162,220,173,224,209,204,175,374,380,477,593,507,451,567,492,626,476,623,511,539,451,614,443,694,458,500,467,696,419,597,472,134,173,633,423,613,321
604,435,237,171,133,173,241,180,277,153,216,162,220,200,201,166,364,358,471,573,496,427,554,467,614,444,606,476,524,426,592,419,683,431,488,443,689,389,594,451,132,168,624,387,605,296
571,410,224,162,124,168,233,172,265,149,206,155,210,196,194,163,342,344,457,555,469,411,527,452,579,424,570,452,496,417,557,405,657,416,465,427,654,374,579,441,128,165,599,364,593,277
575,475,227,185,122,182,230,191,262,162,204,173,209,210,193,175,342,379,461,592,460,445,528,491,581,474,581,513,497,453,569,451,662,456,467,464,649,418,578,471,129,174,587,427,595,324
579,503,228,194,123,189,231,200,263,171,204,181,211,218,193,182,343,394,463,612,460,466,530,510,581,495,586,537,500,475,576,475,663,479,469,483,650,448,580,490,130,178,589,458,599,343
577,529,226,203,122,196,229,209,261,179,203,189,210,226,192,190,340,408,460,631,457,488,527,528,578,517,584,561,498,499,576,499,659,503,464,502,644,483,577,511,130,182,588,487,599,361
577,591,224,219,123,210,229,231,262,199,202,209,212,245,194,211,335,438,453,667,456,548,521,566,569,572,581,603,499,564,578,549,647,559,452,550,637,561,571,552,130,189,600,545,603,400
606,529,234,203,131,197,236,210,273,180,213,190,217,226,198,191,356,409,462,632,486,493,547,529,604,519,606,562,522,499,606,497,663,505,480,505,665,484,577,512,131,182,616,487,597,360
608,503,236,194,132,190,238,201,274,171,214,181,218,218,199,183,360,395,465,613,488,470,550,511,608,497,609,537,524,474,607,472,667,481,485,485,671,449,580,491,131,178,618,456,597,343
604,474,235,185,131,182,237,191,273,162,214,173,216,210,198,175,358,379,462,592,486,449,548,491,608,475,604,513,521,452,599,448,665,457,483,466,671,418,579,471,130,173,616,424,594,323
