Distance,Correlation,Abs_Correlation
Distance (21 to 51),-0.5965819307877477,0.5965819307877477
Distance (39 to 44),-0.5965696647495718,0.5965696647495718
Distance (18 to 64),-0.5965437301546987,0.5965437301546987
Distance (19 to 37),-0.596507844880092,0.596507844880092
Distance (18 to 26),-0.5964400620275051,0.5964400620275051
Distance (21 to 53),-0.5964393857681434,0.5964393857681434
Distance (45 to 54),-0.5963991549681344,0.5963991549681344
Distance (5 to 18),-0.5963506676397027,0.5963506676397027
Distance (21 to 60),-0.5963229414874933,0.5963229414874933
Distance (21 to 54),-0.5963156724736418,0.5963156724736418
Distance (19 to 28),-0.5962868365971512,0.5962868365971512
Distance (24 to 51),-0.5962823545898972,0.5962823545898972
Distance (20 to 27),-0.5961606415386858,0.5961606415386858
Distance (24 to 46),-0.5961472152938797,0.5961472152938797
Distance (25 to 26),-0.5960872368671118,0.5960872368671118
Distance (18 to 49),-0.5960631844139984,0.5960631844139984
Distance (20 to 44),-0.5960541474054859,0.5960541474054859
Distance (4 to 18),-0.5959957821814948,0.5959957821814948
Distance (24 to 56),-0.5959657765754824,0.5959657765754824
Distance (20 to 68),-0.5959509261095057,0.5959509261095057
Distance (25 to 32),-0.595939199641184,0.595939199641184
Distance (24 to 57),-0.5959350598207753,0.5959350598207753
Distance (6 to 20),-0.5959137812778332,0.5959137812778332
Distance (23 to 51),-0.5958581145124344,0.5958581145124344
Distance (58 to 66),-0.5957798765988889,0.5957798765988889
Distance (33 to 37),-0.5957631784552071,0.5957631784552071
Distance (28 to 37),-0.5957251145497037,0.5957251145497037
Distance (45 to 51),-0.5957190594372114,0.5957190594372114
Distance (20 to 54),-0.595690137126897,0.595690137126897
Distance (34 to 44),-0.5956894228131367,0.5956894228131367
Distance (45 to 60),-0.5956892993156634,0.5956892993156634
Distance (24 to 60),-0.5956621758666498,0.5956621758666498
Distance (19 to 25),-0.5956324553472321,0.5956324553472321
Distance (19 to 43),-0.595586412577623,0.595586412577623
Distance (23 to 53),-0.5955620774927057,0.5955620774927057
Distance (28 to 46),-0.59548944474219,0.59548944474219
Distance (21 to 50),-0.5954443262083697,0.5954443262083697
Distance (19 to 61),-0.5954189000472745,0.5954189000472745
Distance (45 to 53),-0.5953788316250763,0.5953788316250763
Distance (23 to 60),-0.5953376233144585,0.5953376233144585
Distance (25 to 52),-0.5952204633189848,0.5952204633189848
Distance (18 to 48),-0.595181416055659,0.595181416055659
Distance (23 to 54),-0.5951762352884893,0.5951762352884893
Distance (25 to 54),-0.595165305570184,0.595165305570184
Distance (24 to 50),-0.5951641841471967,0.5951641841471967
Distance (22 to 34),-0.5951615439626416,0.5951615439626416
Distance (5 to 20),-0.5950944379185141,0.5950944379185141
Distance (20 to 57),-0.5950872464004868,0.5950872464004868
Distance (18 to 60),-0.5950844326112698,0.5950844326112698
Distance (6 to 18),-0.595058038793137,0.595058038793137
Distance (38 to 53),-0.5950420686967307,0.5950420686967307
Distance (24 to 59),-0.595034342794909,0.595034342794909
Distance (45 to 50),-0.5949505161006957,0.5949505161006957
Distance (23 to 50),-0.5949252737864102,0.5949252737864102
Distance (34 to 46),-0.5949042548608151,0.5949042548608151
Distance (38 to 54),-0.5948910654187894,0.5948910654187894
Distance (20 to 56),-0.5948817377590604,0.5948817377590604
Distance (27 to 35),-0.5948637667966261,0.5948637667966261
Distance (21 to 61),-0.5948250566052581,0.5948250566052581
Distance (19 to 60),-0.5948161566996198,0.5948161566996198
Distance (19 to 34),-0.5947047819374912,0.5947047819374912
Distance (26 to 34),-0.5946810113317454,0.5946810113317454
Distance (18 to 25),-0.5946652704379284,0.5946652704379284
Distance (24 to 58),-0.5946351386850893,0.5946351386850893
Distance (21 to 56),-0.594632881648872,0.594632881648872
Distance (38 to 60),-0.594553559117597,0.594553559117597
Distance (21 to 59),-0.5945297657914363,0.5945297657914363
Distance (20 to 58),-0.5945212372352793,0.5945212372352793
Distance (31 to 45),-0.5945182595036004,0.5945182595036004
Distance (38 to 61),-0.594515815759334,0.594515815759334
Distance (45 to 56),-0.5944095253335945,0.5944095253335945
Distance (5 to 19),-0.5944000519003773,0.5944000519003773
Distance (19 to 49),-0.5943608733866834,0.5943608733866834
Distance (27 to 40),-0.5943561902226807,0.5943561902226807
Distance (25 to 57),-0.5942795992548299,0.5942795992548299
Distance (3 to 18),-0.5941955234620977,0.5941955234620977
Distance (25 to 53),-0.594193009202721,0.594193009202721
Distance (33 to 44),-0.594188584223565,0.594188584223565
Distance (19 to 24),-0.5941708565772355,0.5941708565772355
Distance (24 to 68),-0.5941661253306356,0.5941661253306356
Distance (21 to 49),-0.594146799081389,0.594146799081389
Distance (21 to 57),-0.5941157923731458,0.5941157923731458
Distance (25 to 56),-0.5940909324448505,0.5940909324448505
Distance (45 to 59),-0.5940514476579652,0.5940514476579652
Distance (45 to 57),-0.5940217338695293,0.5940217338695293
Distance (38 to 52),-0.5940077710859852,0.5940077710859852
Distance (23 to 59),-0.5939930866370314,0.5939930866370314
Distance (24 to 65),-0.5938707096044366,0.5938707096044366
Distance (45 to 65),-0.5938399235958695,0.5938399235958695
Distance (6 to 19),-0.5938302697646678,0.5938302697646678
Distance (45 to 68),-0.5938163616393555,0.5938163616393555
Distance (19 to 23),-0.5938142696002056,0.5938142696002056
Distance (23 to 57),-0.593790957730568,0.593790957730568
Distance (27 to 63),-0.5936907968947733,0.5936907968947733
Distance (18 to 50),-0.5936782549662728,0.5936782549662728
Distance (38 to 51),-0.5936118352119786,0.5936118352119786
Distance (25 to 60),-0.5936066941096303,0.5936066941096303
Distance (19 to 27),-0.5935669981065288,0.5935669981065288
Distance (37 to 64),-0.5935526151693499,0.5935526151693499
Distance (21 to 68),-0.593536572815284,0.593536572815284
Distance (27 to 64),-0.5935355698416144,0.5935355698416144
Distance (19 to 35),-0.5935225036081757,0.5935225036081757
Distance (41 to 43),-0.5935151063604772,0.5935151063604772
Distance (24 to 55),-0.5935134580172031,0.5935134580172031
Distance (18 to 27),-0.5934102007588034,0.5934102007588034
Distance (23 to 56),-0.5933968714699608,0.5933968714699608
Distance (29 to 37),-0.5933491933463992,0.5933491933463992
Distance (45 to 55),-0.5933370335928122,0.5933370335928122
Distance (38 to 49),-0.5933224567133758,0.5933224567133758
Distance (25 to 51),-0.593263268564961,0.593263268564961
Distance (19 to 50),-0.5932436891775452,0.5932436891775452
Distance (22 to 54),-0.5932075263720459,0.5932075263720459
Distance (45 to 58),-0.5931955639869078,0.5931955639869078
Distance (25 to 59),-0.5931669903745365,0.5931669903745365
Distance (12 to 38),-0.5931330322979442,0.5931330322979442
Distance (25 to 58),-0.5930198266277645,0.5930198266277645
Distance (36 to 47),-0.5929995633763729,0.5929995633763729
Distance (19 to 51),-0.5929958406061002,0.5929958406061002
Distance (23 to 68),-0.5929819983262605,0.5929819983262605
Distance (21 to 58),-0.5929674758486825,0.5929674758486825
Distance (24 to 67),-0.5929450780813753,0.5929450780813753
Distance (26 to 33),-0.5929139695904472,0.5929139695904472
Distance (38 to 56),-0.5928970264649213,0.5928970264649213
Distance (23 to 58),-0.5928817709056549,0.5928817709056549
Distance (4 to 19),-0.5928602436061203,0.5928602436061203
Distance (26 to 29),-0.5928131825185876,0.5928131825185876
Distance (18 to 24),-0.5927856370120603,0.5927856370120603
Distance (20 to 67),-0.5927839255094303,0.5927839255094303
Distance (38 to 50),-0.5926396978988528,0.5926396978988528
Distance (6 to 45),-0.5926063311857924,0.5926063311857924
Distance (25 to 50),-0.5925839384626378,0.5925839384626378
Distance (24 to 49),-0.5925745800177707,0.5925745800177707
Distance (45 to 49),-0.5924991160057113,0.5924991160057113
Distance (6 to 21),-0.5924749079836328,0.5924749079836328
Distance (6 to 24),-0.5924237719971451,0.5924237719971451
Distance (21 to 55),-0.5923935256219005,0.5923935256219005
Distance (23 to 46),-0.5923660702317982,0.5923660702317982
Distance (19 to 59),-0.5922980589124834,0.5922980589124834
Distance (33 to 46),-0.5922849269324134,0.5922849269324134
Distance (25 to 68),-0.5922792443870327,0.5922792443870327
Distance (19 to 36),-0.5922604877909067,0.5922604877909067
Distance (37 to 63),-0.592250087791808,0.592250087791808
Distance (37 to 62),-0.5922206557644982,0.5922206557644982
Distance (18 to 51),-0.592207173941737,0.592207173941737
Distance (23 to 49),-0.5921982194929161,0.5921982194929161
Distance (32 to 42),-0.5921755299136874,0.5921755299136874
Distance (19 to 31),-0.5921618500031672,0.5921618500031672
Distance (25 to 65),-0.592159348404851,0.592159348404851
Distance (35 to 39),-0.5921501319924434,0.5921501319924434
Distance (12 to 20),-0.5921257384646178,0.5921257384646178
Distance (18 to 43),-0.5920987810598762,0.5920987810598762
Distance (36 to 39),-0.5920665237642045,0.5920665237642045
Distance (40 to 44),-0.5920299030085394,0.5920299030085394
Distance (26 to 52),-0.5920283556083377,0.5920283556083377
Distance (18 to 42),-0.5919463147165815,0.5919463147165815
Distance (45 to 67),-0.5919277184296207,0.5919277184296207
Distance (19 to 52),-0.5919275502683093,0.5919275502683093
Distance (6 to 23),-0.5919250825550737,0.5919250825550737
Distance (25 to 31),-0.5919187236705634,0.5919187236705634
Distance (19 to 44),-0.5919161889673143,0.5919161889673143
Distance (29 to 47),-0.5918988279159219,0.5918988279159219
Distance (32 to 44),-0.5918870508753122,0.5918870508753122
Distance (12 to 45),-0.5918655989658426,0.5918655989658426
Distance (34 to 39),-0.5917834227267819,0.5917834227267819
Distance (12 to 21),-0.591769872636879,0.591769872636879
Distance (20 to 55),-0.5917572953153374,0.5917572953153374
Distance (21 to 65),-0.5916171505312935,0.5916171505312935
Distance (38 to 55),-0.5916110971368062,0.5916110971368062
Distance (25 to 55),-0.5916091814522235,0.5916091814522235
Distance (19 to 68),-0.5916004381404077,0.5916004381404077
Distance (29 to 39),-0.5915899323211273,0.5915899323211273
Distance (20 to 66),-0.5915554737598073,0.5915554737598073
Distance (26 to 57),-0.5915370746171855,0.5915370746171855
Distance (22 to 31),-0.5914900624718226,0.5914900624718226
Distance (24 to 61),-0.59148003269437,0.59148003269437
Distance (25 to 67),-0.5914449512148199,0.5914449512148199
Distance (38 to 57),-0.5914428070262612,0.5914428070262612
Distance (18 to 59),-0.5914297083222864,0.5914297083222864
Distance (19 to 53),-0.5914158840655136,0.5914158840655136
Distance (26 to 32),-0.5914042981970975,0.5914042981970975
